iter	Passed	Remaining
912	5014	477
913	5019	472
914	5024	466
915	5029	461
916	5034	455
917	5039	450
918	5044	444
919	5050	439
920	5055	433
921	5060	428
922	5067	422
923	5073	417
924	5080	411
925	5088	406
926	5094	401
927	5101	395
928	5108	390
929	5114	384
930	5120	379
931	5126	374
932	5133	368
933	5141	363
934	5147	357
935	5154	352
936	5160	346
937	5166	341
938	5172	336
939	5179	330
940	5185	325
941	5192	319
942	5199	314
943	5205	308
944	5212	303
945	5218	297
946	5224	292
947	5230	286
948	5235	281
949	5241	275
950	5247	270
951	5253	264
952	5259	259
953	5264	253
954	5270	248
955	5276	242
956	5281	237
957	5287	231
958	5293	226
959	5298	220
960	5303	215
961	5308	209
962	5314	204
963	5319	198
964	5324	193
965	5329	187
966	5336	182
967	5342	176
968	5347	171
969	5352	165
970	5358	160
971	5364	154
972	5369	149
973	5375	143
974	5380	137
975	5385	132
976	5390	126
977	5395	121
978	5400	115
979	5406	110
980	5411	104
981	5417	99
982	5422	93
983	5427	88
984	5432	82
985	5438	77
986	5443	71
987	5448	66
988	5453	60
989	5460	55
990	5465	49
991	5471	44
992	5477	38
993	5483	33
994	5488	27
995	5494	22
996	5499	16
997	5504	11
998	5510	5
999	5515	0
